codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,combined3_x11,combined3_seats,metodo,razao,status
20646,184,Present,5.097109991858417e-7,1.778172564748104e-8,3.9216931368990515e-8,TRUE,8.111934501897622e-8,-6.947658983893202,0.9958273057491454,0.9591561049734538,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20648,184,Present,2.801376796391919e-4,1.5889347060316084e-8,2.8022160036833554e-8,TRUE,2.0515735965620507e-7,-7.434413816027591,1.165294491653299,0.747218859237274,1,1,1,1,None,None,seats,"Q = 1.17 > 1, decomposição X-11 fraca",ajustada
20649,184,ProbablyNone,0.2687012931550419,0.0016307755423639048,0.004617054856205338,FALSE,0.0038579190600297464,-7.459037663643131,1.761146149204625,1.1514019197951417,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20650,184,ProbablyNone,0.13811533828632394,3.9792373777081114e-4,9.263530894662031e-4,TRUE,9.050738903026989e-4,-7.25166105630466,1.713594670738048,1.1189504891129574,1,0.00483580596317823,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20651,184,Present,0,4.739353354210607e-11,4.263256414560601e-14,TRUE,0,-4.615997924946868,0.6748836292737118,0.4450247987431728,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20652,184,Present,0,4.1522341120980855e-14,2.220446049250313e-15,TRUE,0,-4.991022107918414,0.5908673045639564,0.4160590097378097,1,0.6396998801988909,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20655,184,Present,0.1503123961402475,3.6604319392230522e-06,2.6807592404809455e-6,TRUE,7.552527670784404e-5,-6.003581324932398,0.9255700271651051,0.6662417876950368,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20656,184,Present,2.539080057317733e-13,7.414846514564033e-12,2.4791835251392058e-11,TRUE,1.4954237848030516e-10,-3.2986887877069004,0.6176689061912599,0.5552808613496067,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20657,184,Present,4.220458427184326e-9,7.372822238727039e-6,9.415351117647575e-7,TRUE,1.4455103780619538e-13,-7.212345472104806,1.128082906581108,0.4857012155576672,1,1,1,1,None,None,seats,"Q = 1.13 > 1, decomposição X-11 fraca",ajustada
20658,184,None,1,0.024037714433337243,0.010216461924379305,FALSE,0.05424782162398489,-10.185128739227082,1.1364312459168384,1.1998596088699802,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20659,184,ProbablyNone,4.35061360049005e-7,1.5714150702894614e-7,1.1171612335214576e-7,TRUE,9.198798894671789e-5,-7.02298138461099,1.6063986951790818,0.9643718141080956,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20660,184,ProbablyNone,1.6106924165093517e-5,9.024786348121872e-6,2.04334864192246e-5,TRUE,0.00870983729563668,-7.341412419638567,1.5718527471661543,0.9457916971258451,0.8113587873138386,0.6808354411746782,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20661,184,Present,6.847855615887966e-13,3.8531106860695274e-8,8.703767706563781e-10,TRUE,3.3668623444782497e-10,-3.934517552365613,0.9718118157649062,0.7067478807487578,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20635,184,Present,0,0,0,TRUE,0,-2.0109538840975474,0.32030897328466934,0.20277796221892144,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20665,184,Present,2.2539907095664447e-5,1.194795135384119e-6,1.0004262507301576e-6,TRUE,1.1883904564857772e-6,-6.582900394148888,0.5549748184139406,0.4199713425143228,1,0.9694133108094067,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20666,184,Present,8.284025178728616e-5,4.319155244569828e-6,1.9192274399726372e-6,TRUE,2.0136802459203018e-4,-5.959846472519196,0.576906528179859,0.6323609416874688,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20669,184,Present,0.051167446459374544,2.070790850948745e-4,4.13381647071942e-5,TRUE,9.220986983971002e-6,-9.552825082818186,0.6189097648139184,0.7530643526425906,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
