codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,metodo,razao,status
20648,184,Present,2.801376796391919e-4,1.5889347060316084e-8,2.8022160036833554e-8,TRUE,2.0515735965620507e-7,-7.434413816027591,1.4318973494064107,0.8460747081286165,1,1,0.196473581533658,0.670688965908234,seats,"Q = 1.43 > 1, decomposição X-11 fraca",ajustada
20649,184,ProbablyNone,0.2687012931550419,0.0016307755423639048,0.004617054856205338,FALSE,0.0038579190600297464,-7.459037663643131,1.8409235130571842,1.2315708904044498,1,0.0826238407052848,0.81557368763539,0.976807582468462,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20650,184,ProbablyNone,0.13811533828632394,3.9792373777081114e-4,9.263530894662031e-4,TRUE,9.050738903026989e-4,-7.25166105630466,1.7084603680828898,1.1841368454568189,1,0.0552825077491531,0.772888295450131,0.975752455607368,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20651,184,Present,0,4.739353354210607e-11,4.263256414560601e-14,TRUE,0,-4.615997924946868,1.3554876851223445,0.6335557604767871,1,1,0.682206730981991,0.522239675648429,seats,"Q = 1.36 > 1, decomposição X-11 fraca",ajustada
20652,184,Present,0,4.1522341120980855e-14,2.220446049250313e-15,TRUE,0,-4.991022107918414,0.6540146262264455,0.48261766337651413,1,0.999914565458455,0.970679873272633,0.997905482064642,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20655,184,Present,0.1503123961402475,3.6604319392230522e-06,2.6807592404809455e-6,TRUE,7.552527670784404e-5,-6.003581324932398,0.9041505775293784,0.8660641793681894,1,0.014081565965065,0.98407088575712,0.0986028272358477,x11,SEATS deixa sazonalidade residual (QS),ajustada
20656,184,Present,2.539080057317733e-13,7.414846514564033e-12,2.4791835251392058e-11,TRUE,1.4954237848030516e-10,-3.2986887877069004,0.6403615962452577,0.5809573270949131,1,1,0.984238823956651,0.905957153872223,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20657,184,Present,4.220458427184326e-9,7.372822238727039e-6,9.415351117647575e-7,TRUE,1.4455103780619538e-13,-7.212345472104806,1.2359309161341254,0.4972703201967731,1,1,0.541238255816153,0.615315355408598,seats,"Q = 1.24 > 1, decomposição X-11 fraca",ajustada
20658,184,None,1,0.024037714433337243,0.010216461924379305,FALSE,0.05424782162398489,-10.185128739227082,1.2503826756442569,1.271090234868697,1,0.994025238070359,0.229711083153149,0.0226057717736282,nenhum,teste combinado: None,sem_sazonalidade
20659,184,ProbablyNone,4.35061360049005e-7,1.5714150702894614e-7,1.1171612335214576e-7,TRUE,9.198798894671789e-5,-7.02298138461099,1.616260934723347,1.0154044717468613,1,1,0.453457792657478,0.0482174650481612,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
