codigo,date,value_sa
20702,2026-02-01,3966.2621279830933
20702,2026-03-01,3729.971946823832
20702,2026-04-01,3513.4264810481814
20702,2026-05-01,3314.54456800745
20702,2026-06-01,3439.752032833223
20703,2011-03-01,5047.46157325416
20703,2011-04-01,5283.669487569596
20703,2011-05-01,5506.5711627425035
20703,2011-06-01,5843.415498832936
20703,2011-07-01,5898.805928698553
20703,2011-08-01,6449.716918234156
20703,2011-09-01,6399.488711801704
20703,2011-10-01,5213.31068079747
20703,2011-11-01,6416.767831405656
20703,2011-12-01,6449.6315320237545
20703,2012-01-01,6696.087957694643
20703,2012-02-01,6740.0148945270985
20703,2012-03-01,7031.24058092003
20703,2012-04-01,6020.395958492245
20703,2012-05-01,6540.889149168219
20703,2012-06-01,6799.232855374768
20703,2012-07-01,6881.483152932448
20703,2012-08-01,7642.55765935289
20703,2012-09-01,6625.045137871793
20703,2012-10-01,7928.8778606870155
20703,2012-11-01,7731.955103374145
20703,2012-12-01,7835.254999661911
20703,2013-01-01,8666.365777614865
20703,2013-02-01,8411.312431842054
20703,2013-03-01,8365.43335915699
20703,2013-04-01,9391.510715440198
20703,2013-05-01,9055.393129001968
20703,2013-06-01,9228.456759104352
20703,2013-07-01,9363.012473449078
20703,2013-08-01,8593.309970751818
20703,2013-09-01,8630.807508840226
20703,2013-10-01,9420.99082528857
20703,2013-11-01,9503.408209480356
20703,2013-12-01,9528.421999345606
20703,2014-01-01,9763.526543604881
20703,2014-02-01,11655.823288847694
20703,2014-03-01,8307.162623918171
20703,2014-04-01,9577.013454609054
20703,2014-05-01,10126.197602807344
20703,2014-06-01,9225.526178687523
20703,2014-07-01,9772.85350666844
20703,2014-08-01,9127.115586060847
20703,2014-09-01,10899.638607788287
20703,2014-10-01,11486.20565798773
20703,2014-11-01,9986.433423187174
20703,2014-12-01,10005.976482803808
20703,2015-01-01,11687.74672436152
20703,2015-02-01,9094.094020886232
20703,2015-03-01,9947.635043488342
20703,2015-04-01,10518.364675022916
20703,2015-05-01,6640.700687105764
20703,2015-06-01,6926.216541074173
20703,2015-07-01,7048.173875896765
20703,2015-08-01,6527.0026781324505
20703,2015-09-01,7052.739144737392
20703,2015-10-01,6256.335228342883
20703,2015-11-01,6341.062446711527
20703,2015-12-01,6757.111455041832
20703,2016-01-01,5372.2413430316265
20703,2016-02-01,6110.797443899445
20703,2016-03-01,6337.38544962643
20703,2016-04-01,6214.863987115873
20703,2016-05-01,5886.8899221963675
20703,2016-06-01,6042.812921319201
20703,2016-07-01,5599.9369987115415
20703,2016-08-01,6102.299584899531
20703,2016-09-01,5231.542494700855
20703,2016-10-01,5536.237923407024
20703,2016-11-01,6297.995432209615
20703,2016-12-01,8592.550876642825
20703,2017-01-01,6204.222238557968
20703,2017-02-01,6660.55359807885
20703,2017-03-01,6249.716749999973
20703,2017-04-01,6022.880664697309
20703,2017-05-01,6774.195672827997
20703,2017-06-01,6840.035817140992
20703,2017-07-01,6699.35188915413
20703,2017-08-01,6662.825646136536
20703,2017-09-01,5846.4639178017605
20703,2017-10-01,5870.0452994018415
20703,2017-11-01,5791.022878241316
20703,2017-12-01,5417.83319553006
20703,2018-01-01,6409.363526953032
20703,2018-02-01,6067.796590177101
20703,2018-03-01,5901.488443980395
20703,2018-04-01,6429.342550218033
20703,2018-05-01,6411.308594845
20703,2018-06-01,6319.943343288865
20703,2018-07-01,6424.606571300346
20703,2018-08-01,6446.791005843742
20703,2018-09-01,6803.259847171755
20703,2018-10-01,7437.9369678896155
20703,2018-11-01,6798.882994295428
20703,2018-12-01,7040.800316631276
20703,2019-01-01,5968.984138457396
20703,2019-02-01,8646.506894118646
20703,2019-03-01,6783.584125042005
20703,2019-04-01,7589.451461227054
20703,2019-05-01,7236.416735909659
20703,2019-06-01,7551.394526072372
20703,2019-07-01,7645.352712756304
20703,2019-08-01,5963.898935258051
20703,2019-09-01,7873.0551368097795
20703,2019-10-01,9516.600040180827
20703,2019-11-01,8687.649794267621
20703,2019-12-01,8719.182125261534
20703,2020-01-01,8208.578149031648
20703,2020-02-01,8424.979073773908
20703,2020-03-01,8246.54011935808
20703,2020-04-01,7954.850471369374
20703,2020-05-01,7363.49268638383
20703,2020-06-01,9056.340175850077
20703,2020-07-01,10130.37327420645
20703,2020-08-01,10560.740753063692
20703,2020-09-01,11066.83817888549
20703,2020-10-01,11726.725038612756
20703,2020-11-01,11829.875274664484
20703,2020-12-01,12544.549127899054
20703,2021-01-01,11091.179482256397
20703,2021-02-01,12694.190175384843
20703,2021-03-01,13448.166112215502
20703,2021-04-01,14061.506650384244
20703,2021-05-01,14165.284758741822
20703,2021-06-01,13754.269582131594
20703,2021-07-01,13239.055296233006
20703,2021-08-01,14925.702775619186
20703,2021-09-01,14267.723484467004
20703,2021-10-01,13401.093773212846
20703,2021-11-01,13950.806524972702
20703,2021-12-01,13689.746561666336
20703,2022-01-01,12922.641099619552
20703,2022-02-01,13137.927276313138
20703,2022-03-01,13165.860087910487
20703,2022-04-01,11735.927034169526
20703,2022-05-01,12863.400867556273
20703,2022-06-01,13504.236318931888
20703,2022-07-01,13741.110479201867
20703,2022-08-01,12834.382484645304
20703,2022-09-01,13034.519468730658
20703,2022-10-01,12971.410387619164
20703,2022-11-01,13128.240117395857
20703,2022-12-01,12515.598661861111
20703,2023-01-01,13344.606074061343
20703,2023-02-01,12750.275174274093
20703,2023-03-01,13655.494554416482
20703,2023-04-01,12727.772561743222
20703,2023-05-01,12653.520820822754
20703,2023-06-01,12453.65748045945
20703,2023-07-01,12020.84839006576
20703,2023-08-01,12643.072774543813
20703,2023-09-01,13710.510647395347
20703,2023-10-01,13783.298530440245
20703,2023-11-01,13820.861329313622
20703,2023-12-01,14206.97485653897
20703,2024-01-01,15497.41269473436
20703,2024-02-01,15914.207998765742
20703,2024-03-01,13901.735328676557
20703,2024-04-01,16684.635907878437
20703,2024-05-01,17456.208945128306
20703,2024-06-01,16741.033578680253
20703,2024-07-01,17569.352308771806
20703,2024-08-01,17628.83566417874
20703,2024-09-01,16659.13660735929
20703,2024-10-01,16321.552939383953
20703,2024-11-01,15405.062610173363
20703,2024-12-01,14931.281223601542
20703,2025-01-01,17149.603432546508
20703,2025-02-01,16867.620753180116
20703,2025-03-01,12093.156311162566
20703,2025-04-01,14726.419552527948
20703,2025-05-01,13985.64076228921
20703,2025-06-01,13697.072119985132
20703,2025-07-01,13577.12453588504
20703,2025-08-01,13703.205603670647
20703,2025-09-01,14375.565843192044
20703,2025-10-01,16744.628571085854
20703,2025-11-01,15777.275831248555
20703,2025-12-01,17602.42010684202
20703,2026-01-01,16702.412920417573
20703,2026-02-01,18004.87784535908
20703,2026-03-01,19187.61863479574
20703,2026-04-01,18942.377475594854
20703,2026-05-01,19958.671871993352
20703,2026-06-01,21280.626506446068
20704,2011-03-01,5848.8304958580875
20704,2011-04-01,6026.903757616383
20704,2011-05-01,6374.308734418398
20704,2011-06-01,6665.0431701754505
20704,2011-07-01,6718.401310242336
20704,2011-08-01,7274.218443738874
20704,2011-09-01,7305.012175673039
20704,2011-10-01,5785.755025901557
20704,2011-11-01,7309.639512228915
20704,2011-12-01,7285.082074465303
20704,2012-01-01,7598.025145123646
20704,2012-02-01,7619.009822620533
20704,2012-03-01,7853.185890068249
20704,2012-04-01,6702.710319629443
20704,2012-05-01,7283.106513911873
20704,2012-06-01,7691.8995480882595
20704,2012-07-01,7846.687618339079
20704,2012-08-01,8708.16579523326
20704,2012-09-01,7685.094724033044
20704,2012-10-01,8991.774717155859
20704,2012-11-01,8986.899202738648
20704,2012-12-01,8995.571627182911
20704,2013-01-01,10134.585553582105
20704,2013-02-01,9873.244565172683
20704,2013-03-01,9830.48668837547
20704,2013-04-01,11108.4408946412
20704,2013-05-01,10669.255696827704
20704,2013-06-01,10859.875666135551
20704,2013-07-01,11078.352941846691
20704,2013-08-01,10196.891104503364
20704,2013-09-01,10288.119886860955
20704,2013-10-01,10605.373707389916
20704,2013-11-01,10895.382364076811
20704,2013-12-01,10784.782161640731
20704,2014-01-01,10939.601762532577
20704,2014-02-01,12961.22155406606
20704,2014-03-01,9202.336711515134
20704,2014-04-01,10590.92096214033
20704,2014-05-01,11488.744011777959
20704,2014-06-01,10509.230928454426
20704,2014-07-01,11056.40508026913
20704,2014-08-01,10302.360714475131
20704,2014-09-01,12413.103761851124
20704,2014-10-01,12640.82446381286
20704,2014-11-01,11397.581236476772
20704,2014-12-01,11815.572910199948
20704,2015-01-01,13674.79178832132
20704,2015-02-01,10528.07915227607
20704,2015-03-01,11594.817605861266
20704,2015-04-01,12151.000996369256
20704,2015-05-01,7855.856367153826
20704,2015-06-01,8126.517025525103
20704,2015-07-01,8200.733315664955
20704,2015-08-01,7516.836589412736
20704,2015-09-01,8168.28608345117
20704,2015-10-01,7146.043713842313
20704,2015-11-01,7307.578374559418
20704,2015-12-01,7805.685582405068
20704,2016-01-01,6223.837444905261
20704,2016-02-01,7055.757496592803
20704,2016-03-01,7248.424164920295
20704,2016-04-01,7062.971733989251
20704,2016-05-01,6663.743991468619
20704,2016-06-01,6827.142202438281
20704,2016-07-01,6359.399424532497
20704,2016-08-01,6849.438187699109
20704,2016-09-01,5940.091451790409
20704,2016-10-01,6184.6673508622525
20704,2016-11-01,7128.937684554778
20704,2016-12-01,9369.62167618566
20704,2017-01-01,6838.350096660724
20704,2017-02-01,7267.277008024456
20704,2017-03-01,6910.783172210351
20704,2017-04-01,6546.3431697936285
20704,2017-05-01,7342.007706866676
20704,2017-06-01,7392.133627868043
20704,2017-07-01,7194.844995283146
20704,2017-08-01,7181.603689145423
20704,2017-09-01,6328.347112123486
20704,2017-10-01,6329.619210866388
20704,2017-11-01,6298.63050702548
20704,2017-12-01,5949.403667184508
20704,2018-01-01,6998.876348420123
20704,2018-02-01,6753.079703806794
20704,2018-03-01,6559.568043028323
20704,2018-04-01,7252.841259508165
20704,2018-05-01,7150.597544346936
20704,2018-06-01,7101.738559548369
20704,2018-07-01,7189.160973418892
20704,2018-08-01,7217.3465706233565
20704,2018-09-01,7576.367023963085
20704,2018-10-01,8309.412329018029
20704,2018-11-01,7407.435445614965
20704,2018-12-01,7606.323336316179
20704,2019-01-01,6508.32247160106
20704,2019-02-01,9254.636767290036
20704,2019-03-01,7252.630571887374
20704,2019-04-01,8130.4622239826185
20704,2019-05-01,7813.756423892531
20704,2019-06-01,8077.014152306217
20704,2019-07-01,8194.369846174777
20704,2019-08-01,6499.631172814614
20704,2019-09-01,8440.702040175602
20704,2019-10-01,10205.943052722905
20704,2019-11-01,9335.074997496538
20704,2019-12-01,9399.514005415911
20704,2020-01-01,8877.555079337453
20704,2020-02-01,9162.521098169569
20704,2020-03-01,8837.794977024905
20704,2020-04-01,8589.16241657742
20704,2020-05-01,7927.0458493586775
20704,2020-06-01,9734.567974106381
20704,2020-07-01,10882.763706211183
20704,2020-08-01,11526.400313577597
20704,2020-09-01,12193.467428263231
20704,2020-10-01,12830.959219989512
20704,2020-11-01,13106.777492776426
20704,2020-12-01,14223.86410195998
20704,2021-01-01,12534.063166498225
20704,2021-02-01,14381.190475043994
20704,2021-03-01,15268.202593329483
20704,2021-04-01,15982.755687390976
20704,2021-05-01,16066.823104115916
20704,2021-06-01,15830.44531768076
20704,2021-07-01,15093.739682102854
20704,2021-08-01,17285.82971738128
20704,2021-09-01,16451.27052216041
20704,2021-10-01,15622.842097144441
20704,2021-11-01,16145.799941507554
20704,2021-12-01,15542.517472935635
20704,2022-01-01,14855.178292646842
20704,2022-02-01,15070.784543311684
20704,2022-03-01,15268.937869622241
20704,2022-04-01,13687.879782198324
20704,2022-05-01,14965.452332567735
20704,2022-06-01,15746.66505824394
20704,2022-07-01,16037.840082292727
20704,2022-08-01,14992.08021764453
20704,2022-09-01,15338.373660766576
20704,2022-10-01,15009.847295098396
20704,2022-11-01,15479.692253604426
20704,2022-12-01,14595.240396548506
20704,2023-01-01,15699.372022492113
20704,2023-02-01,14845.3702012762
20704,2023-03-01,16079.728958175856
20704,2023-04-01,14842.659656377713
