codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,combined3_x11,combined3_seats,metodo,razao,status
20689,184,Present,3.863576125695545e-14,1.6653345369377348e-14,2.55351295663786e-15,TRUE,4.733990977001667e-13,-5.877300750964481,0.8076879464449866,0.5167944352922857,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20690,184,None,0.00884153375099972,3.9334292791570746e-5,2.4202614001489486e-5,TRUE,0.005453455575567312,-9.105008087824316,1.2808435459405687,1.3323704380607089,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20691,184,Present,1.6046954839366023e-6,8.22432751901303e-8,1.4277312665456066e-9,TRUE,7.505978061317364e-10,-7.703949019719796,0.9040936921497134,0.7989574464939436,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20692,184,Present,5.2910043736309476e-6,2.8791007466999474e-8,8.971967613291554e-10,TRUE,6.950798236982081e-8,-7.963187912355591,0.8967811196878412,0.6455439690038967,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20693,184,ProbablyNone,0.05288586149068564,8.872808331671367e-4,4.8773300628690563e-5,TRUE,6.899350020752593e-4,-9.70699533007631,1.3303574739522814,1.2195464703968715,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20694,184,Present,0,1.7152254283558932e-8,1.9372811133067103e-9,TRUE,0,-5.2754991851527935,0.7780507023627401,0.4499439133468678,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20695,184,ProbablyNone,0.07339736794076746,0.001932881154974364,0.003927849640137704,FALSE,0.0027628336903647854,-7.659713810481477,1.780721263063011,1.2235504419971615,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20696,184,Present,0,1.3544863008974062e-8,5.916025447305628e-10,TRUE,0,-5.232037421724008,1.1610371461721856,0.4291276904458223,1,1,1,1,None,None,seats,"Q = 1.16 > 1, decomposição X-11 fraca",ajustada
20697,184,Present,1.079039412557048e-4,1.0354427393943766e-4,1.4473778555357253e-4,TRUE,0.010333379232598361,-8.349749017163742,1.0628173085528922,0.8732409565107699,1,1,1,1,None,None,seats,"Q = 1.06 > 1, decomposição X-11 fraca",ajustada
20686,184,Present,0,2.0852497506496093e-10,7.96329668872886e-12,TRUE,0,-4.7802519657487945,0.5847647423081044,0.4419316079400571,0.9605342859250641,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
