codigo,date,value_sa
20636,2025-04-01,89107.81974239265
20636,2025-05-01,96568.38352777985
20636,2025-06-01,58349.79023874229
20636,2025-07-01,67861.61902557444
20636,2025-08-01,67974.30260096164
20636,2025-09-01,71950.04560678623
20636,2025-10-01,68725.1958098869
20636,2025-11-01,65502.89413813082
20636,2025-12-01,80618.20472100623
20636,2026-01-01,76232.29151270921
20636,2026-02-01,79641.45912712158
20636,2026-03-01,81403.43726087669
20636,2026-04-01,83778.67025181613
20636,2026-05-01,80220.65256666364
20636,2026-06-01,82915.77554029108
20637,2011-03-01,4662.028652933856
20637,2011-04-01,4587.710107813451
20637,2011-05-01,4466.300727017421
20637,2011-06-01,4458.547193465817
20637,2011-07-01,4503.061914541235
20637,2011-08-01,4442.331289408957
20637,2011-09-01,4485.411959202302
20637,2011-10-01,4243.59114456534
20637,2011-11-01,4377.794952656577
20637,2011-12-01,4236.764514278587
20637,2012-01-01,4230.632621473663
20637,2012-02-01,4342.451298734127
20637,2012-03-01,4345.504829466979
20637,2012-04-01,4289.172471710712
20637,2012-05-01,4401.835735191891
20637,2012-06-01,4365.462480729179
20637,2012-07-01,4380.441212900622
20637,2012-08-01,4417.615272101443
20637,2012-09-01,4368.124275967708
20637,2012-10-01,4473.220989736866
20637,2012-11-01,4377.802355476488
20637,2012-12-01,4320.723111060471
20637,2013-01-01,4395.723812146291
20637,2013-02-01,4255.973456621463
20637,2013-03-01,4177.430212543387
20637,2013-04-01,4176.50870827178
20637,2013-05-01,4169.948491301601
20637,2013-06-01,4169.294563767416
20637,2013-07-01,4103.380294865273
20637,2013-08-01,4083.6113179439426
20637,2013-09-01,3924.095703437151
20637,2013-10-01,3877.8571226465942
20637,2013-11-01,3862.73631812838
20637,2013-12-01,3858.9394938304176
20637,2014-01-01,3844.722283692049
20637,2014-02-01,3812.2530631858613
20637,2014-03-01,3744.8677013854904
20637,2014-04-01,3727.9530736091556
20637,2014-05-01,3647.3823854064876
20637,2014-06-01,3519.56087121003
20637,2014-07-01,3458.441002928714
20637,2014-08-01,3430.952924539718
20637,2014-09-01,3579.2565155363704
20637,2014-10-01,3394.6612484796087
20637,2014-11-01,3281.981739932306
20637,2014-12-01,3376.940221035351
20637,2015-01-01,3239.054095044726
20637,2015-02-01,3160.8279655043902
20637,2015-03-01,3144.3134609101867
20637,2015-04-01,3118.5704242581687
20637,2015-05-01,2964.494774831624
20637,2015-06-01,2965.5902220714606
20637,2015-07-01,2893.2941786647384
20637,2015-08-01,2805.302371387702
20637,2015-09-01,2891.5459493789726
20637,2015-10-01,2575.918932358404
20637,2015-11-01,2521.3046296822527
20637,2015-12-01,2475.276082729741
20637,2016-01-01,2343.8546479352112
20637,2016-02-01,2308.695725007185
20637,2016-03-01,2200.7843683026426
20637,2016-04-01,2084.4234929438226
20637,2016-05-01,2023.1572469867856
20637,2016-06-01,1941.4967008750243
20637,2016-07-01,1878.5123684185253
20637,2016-08-01,1829.5841221111455
20637,2016-09-01,1694.358236730219
20637,2016-10-01,1641.8458017720209
20637,2016-11-01,1584.838359923412
20637,2016-12-01,1490.3394230966317
20637,2017-01-01,1469.8376725798532
20637,2017-02-01,1357.0329914206527
20637,2017-03-01,1419.4989803310698
20637,2017-04-01,1346.704329387721
20637,2017-05-01,1318.123664757813
20637,2017-06-01,1297.1550166345544
20637,2017-07-01,1277.8734500861742
20637,2017-08-01,1267.7867527895203
20637,2017-09-01,1271.897099147122
20637,2017-10-01,1278.2940772944478
20637,2017-11-01,1271.3069396021135
20637,2017-12-01,1273.8027622209618
20637,2018-01-01,1244.5523412066073
20637,2018-02-01,1213.4183121550595
20637,2018-03-01,1201.7951834156324
20637,2018-04-01,1185.0442594552524
20637,2018-05-01,1180.5411325860357
20637,2018-06-01,1168.4742775624754
20637,2018-07-01,1191.511363357007
20637,2018-08-01,1175.87022164273
20637,2018-09-01,1181.0728995048287
20637,2018-10-01,1192.6346434156374
20637,2018-11-01,1170.3789306982926
20637,2018-12-01,1148.6862865592557
20637,2019-01-01,1127.4689514902038
20637,2019-02-01,1100.8275642887065
20637,2019-03-01,1122.7283577938572
20637,2019-04-01,1133.2920514518223
20637,2019-05-01,1149.75999323423
20637,2019-06-01,1169.7424397318748
20637,2019-07-01,1130.3933743354944
20637,2019-08-01,1152.3300900337906
20637,2019-09-01,1140.06491522199
20637,2019-10-01,1121.8700968648582
20637,2019-11-01,1107.0491133509936
20637,2019-12-01,1171.9823844100733
20637,2020-01-01,1144.479624149164
20637,2020-02-01,1128.1980032695174
20637,2020-03-01,1091.31834954354
20637,2020-04-01,675.5963227487239
20637,2020-05-01,546.2678729244623
20637,2020-06-01,542.430697982717
20637,2020-07-01,531.3546208976073
20637,2020-08-01,523.425466111594
20637,2020-09-01,523.1904657334175
20637,2020-10-01,537.519613633843
20637,2020-11-01,567.0499515038176
20637,2020-12-01,578.4237975989549
20637,2021-01-01,618.5302672722269
20637,2021-02-01,667.1115794591386
20637,2021-03-01,681.9098358065393
20637,2021-04-01,728.820684846403
20637,2021-05-01,750.5399778355235
20637,2021-06-01,768.5376950665583
20637,2021-07-01,787.833751604657
20637,2021-08-01,906.5423769296284
20637,2021-09-01,930.4708905783724
