date,ipca_ssubj,ipca_full,u_rate,focus,ippcv
2012-03-01,0.06421593871455888,0.05239991936124322,0.0736,4.87,0
2012-04-01,0.0782753380297514,0.051041657194300205,0.073,4.89,0
2012-05-01,0.05914523503598601,0.049888673678113005,0.0738,4.91,0
2012-06-01,0.07058560977929629,0.04915425283547448,0.073,4.91,0
2012-07-01,0.10954328638178024,0.0519841436932682,0.0728,4.9,0
2012-08-01,0.0847220850251531,0.052403840391230805,0.0727,4.9,0
2012-09-01,0.05158069442911639,0.052822033772001786,0.0723,4.92,0
2012-10-01,0.07699021089716718,0.05449829043593879,0.0733,4.98,0
2012-11-01,0.0821391583647113,0.055338372505019384,0.073,4.96,0
2012-12-01,0.0782753380297514,0.058385947181474496,0.0758,4.93,0
2013-01-01,0.1457118145737426,0.06154336082552536,0.0762,5,0
2013-02-01,0.1457118145737426,0.06312914644042356,0.0764,5.06,0
2013-03-01,0.07956187072007337,0.06588765923358908,0.0747,5.14,0
2013-04-01,0.10033869371614634,0.06493513984299737,0.07400000000000001,5.17,0
2013-05-01,0.07699021089716718,0.06504135128766597,0.0736,5.14,0
2013-06-01,0.08731066191550552,0.06695915835898392,0.0727,5.13,0
2013-07-01,0.06930888671798252,0.06270692169139735,0.0717,5.21,0
2013-08-01,0.07956187072007337,0.06090762064213395,0.0713,5.18,0
2013-09-01,0.07186373004024893,0.05858620748231913,0.071,5.19,0
2013-10-01,0.0860156664899252,0.0583748487151341,0.0712,5.24,0
2013-11-01,0.06675962664087676,0.057744067237047725,0.0703,5.23,0
2013-12-01,0.11086397456076269,0.05910683255331084,0.0689,5.23,0
2014-01-01,0.09511040640829371,0.055850653925756166,0.0682,5.21,0
2014-02-01,0.13219191841842637,0.056795176240137524,0.0669,5.16,0
2014-03-01,0.09902948120543775,0.061528910091982913,0.0668,5.16,0
2014-04-01,0.07570648792618684,0.06279552187877435,0.0668,5.2,0
2014-05-01,0.10296140860819403,0.06374855650409583,0.0674,5.2,0
2014-06-01,0.09120414601236937,0.06523283601369245,0.06709999999999999,5.21,0
2014-07-01,0.06803355946764844,0.06502234310726562,0.0679,5.23,0
2014-08-01,0.0782753380297514,0.06512969846616312,0.0693,5.2,0
2014-09-01,0.08990490026994502,0.06746474315256257,0.0693,5.14,0
2014-10-01,0.05535675195010192,0.06587240379756931,0.07,5.22,0
2014-11-01,0.07314324889074286,0.06555291341873404,0.0707,5.27,0
2014-12-01,0.10296140860819403,0.06407470795908154,0.07200000000000001,5.28,0
2015-01-01,0.13219191841842637,0.0713773697531781,0.0723,4.96,0
2015-02-01,0.11881841195515741,0.07701587433080315,0.0736,4.94,0
2015-03-01,0.1254869569260173,0.0812850466091044,0.0746,4.91,0
2015-04-01,0.09772169676117581,0.08171486813606821,0.0756,4.9,0
2015-05-01,0.09641533896712007,0.08472942638647574,0.0793,4.76,0
2015-06-01,0.0847220850251531,0.08894429960185124,0.0825,4.65,0
2015-07-01,0.08990490026994502,0.09558392611753286,0.08529999999999999,4.63,0
2015-08-01,0.0782753380297514,0.09525477369967383,0.0883,4.63,0
2015-09-01,0.0782753380297514,0.09492789208366315,0.0911,4.68,0
2015-10-01,0.07956187072007337,0.09928892215568852,0.09390000000000001,4.74,0
2015-11-01,0.07058560977929629,0.10475767294535854,0.0964,4.83,0
2015-12-01,0.07570648792618684,0.1067302813397506,0.0969,4.86,0
2016-01-01,0.1174890570985816,0.10705805070312868,0.099,5.2,0
2016-02-01,0.07314324889074286,0.10355884374834745,0.1013,5.17,0
2016-03-01,0.06167781186449828,0.09386372370862062,0.1039,5.07,0
2016-04-01,0.07058560977929629,0.09277794397895045,0.1074,4.89,0
2016-05-01,0.06675962664087676,0.09321189730159452,0.10980000000000001,4.7,0
2016-06-01,0.05158069442911639,0.08843747317528106,0.113,4.63,0
2016-07-01,0.06041083038769557,0.08735771054919073,0.11630000000000001,4.54,0
2016-08-01,0.04907020753480573,0.08974497601601228,0.1193,4.49,0
2016-09-01,0.05158069442911639,0.08475968623287233,0.1209,4.49,0
2016-10-01,0.056618197194086894,0.07873670831489243,0.12269999999999999,4.46,0
2016-11-01,0.05283800194081856,0.06987383298318162,0.125,4.44,0
2016-12-01,0.04281800719861506,0.06287988213221385,0.1273,4.4,0
2017-01-01,0.05535675195010192,0.053540150717656276,0.12869999999999998,4.3,0
2017-02-01,0.03659998028813005,0.04758907296163506,0.12960000000000002,4.24,0
2017-03-01,0.04781702541316757,0.04571105115681884,0.1309,4.19,0
2017-04-01,0.035360460753407486,0.04082516894622801,0.131,4.13,0
2017-05-01,0.01814924501196291,0.035972561777709355,0.1308,4.18,0
2017-06-01,0.05535675195010192,0.029985569924055655,0.1303,4.12,0
2017-07-01,0.03784085996185582,0.02711625766806125,0.1297,4.07,0
2017-08-01,0.0254931070792348,0.024559084940275255,0.1283,4.05,0
2017-09-01,0.030415956913506736,0.025376909332922803,0.128,4.02,0
2017-10-01,0.030415956913506736,0.027013208888963858,0.127,4,0
2017-11-01,0.02059182500555745,0.028037854253563088,0.1266,4.01,0
2017-12-01,0.05032476341715508,0.029474213204347066,0.1243,4.01,0
2018-01-01,0.021815128251309046,0.028551164512865324,0.12300000000000001,3.99,0
2018-02-01,0.03784085996185582,0.028448937245174832,0.12240000000000001,3.98,0
2018-03-01,0.04406570794190223,0.026808027890635966,0.1234,3.9,0
2018-04-01,0.007223807584212816,0.027627970938854052,0.1234,3.86,0
2018-05-01,0.006016527530961602,0.028550133067404948,0.1253,3.86,0
2018-06-01,0.04781702541316757,0.04391103973908739,0.126,3.85,0
2018-07-01,0.04406570794190223,0.04484843730323074,0.1266,3.83,0
2018-08-01,0.014495421188406521,0.04193015967212532,0.1255,3.79,0
2018-09-01,0.04032670515423953,0.04525976016441646,0.12390000000000001,3.85,0
2018-10-01,0.007223807584212816,0.045570294494237995,0.1226,3.83,0
2018-11-01,0.056618197194086894,0.04046031395814431,0.1222,3.81,0
2018-12-01,0.045314776982552374,0.037455811701915476,0.1215,3.77,0
2019-01-01,0.08860707270679558,0.03776527565953858,0.1204,3.72,0
2019-02-01,0.02059182500555745,0.03890225411907422,0.1195,3.71,0
2019-03-01,0.02426576794540325,0.04575283531443475,0.1189,3.71,0
2019-04-01,0.04656521568456595,0.0494050594134432,0.11939999999999999,3.7,0
2019-05-01,0.029183217766152403,0.046582585427836776,0.1219,3.71,0
2019-06-01,0.02426576794540325,0.033662671524801624,0.12269999999999999,3.66,0
2019-07-01,0.019369864372352774,0.03222020465866193,0.1231,3.61,0
2019-08-01,0.04281800719861506,0.03428615501447618,0.1235,3.55,0
2019-09-01,0.009642352843010737,0.02893424893176899,0.1234,3.55,0
2019-10-01,0.026721794196593374,0.025350285773626524,0.1213,3.53,0
2019-11-01,0.016929965585859463,0.03274906390573662,0.11779999999999999,3.51,0
2019-12-01,0.0821391583647113,0.04306151617159526,0.1142,3.5,0
2020-01-01,0.06930888671798252,0.04191771237832054,0.1112,3.44,0
2020-02-01,0.021815128251309046,0.04005113905034707,0.1108,3.41,0
2020-03-01,0.015712024756715515,0.03303157719890204,0.11410000000000001,3.41,0
2020-04-01,0.02059182500555745,0.023992794287667873,0.12029999999999999,3.37,0
2020-05-01,-0.009557872437507497,0.018777271637496984,0.12990000000000002,3.37,0
2020-06-01,0.012066220495791535,0.021324173853674466,0.1377,3.3,0
2020-07-01,-0.0035940659359919858,0.023056249976072696,0.1451,3.26,0
2020-08-01,0.014495421188406521,0.02438464759566572,0.1521,3.27,0
2020-09-01,0.02426576794540325,0.03135329313827495,0.1535,3.27,0
2020-10-01,0.04406570794190223,0.039183500316257946,0.1496,3.25,2.23116305922555
2020-11-01,0.05535675195010192,0.043112233257791344,0.1484,3.24,2.43707825397089
2020-12-01,0.04406570794190223,0.04517456886424509,0.1448,3.24,2.31989766210222
2021-01-01,0.0847220850251531,0.04559198112322793,0.1424,3.24,2.1351321170555
2021-02-01,0.041571673389912966,0.05195378642593207,0.1392,3.22,2.48701956980959
2021-03-01,0.06167781186449828,0.060994785444116184,0.1399,3.2086,2.83512523669478
2021-04-01,0.009642352843010737,0.06759303889225454,0.14150000000000001,3.2231,2.54743558650837
2021-05-01,0.039083101131259124,0.08056065441058813,0.1464,3.2559,2.36004645565398
2021-06-01,0.054096687323618164,0.08347072365579677,0.1437,3.2107,1.88359541756712
2021-07-01,0.06041083038769557,0.08994822840870187,0.1406,3.1579,1.94050838450942
2021-08-01,0.07956187072007337,0.09679773624068133,0.1353,3.1771,2.05068320266145
2021-09-01,0.045314776982552374,0.10246394955255722,0.1303,3.1421,2.15133157481482
2021-10-01,0.08342991611754491,0.1067262215618634,0.1244,3.1895,2.57349608020017
2021-11-01,0.05158069442911639,0.1073850090767916,0.12,3.1921,2.73646138732742
2021-12-01,0.10033869371614634,0.10060982737443336,0.11410000000000001,3.1815,3.05801043667799
2022-01-01,0.11881841195515741,0.10379424844245855,0.1105,3.1553,3.29525983443262
2022-02-01,0.10296140860819403,0.10543661726335407,0.1065,3.2383,2.58143311077117
2022-03-01,0.09772169676117581,0.11299412129585251,0.1036,3.2363,2.69005478646554
2022-04-01,0.09902948120543775,0.12131630216906664,0.0999,3.2155,3.09120678664279
2022-05-01,0.09380689767098382,0.11731212845583983,0.0974,3.272,2.6270426893587
2022-06-01,0.13219191841842637,0.11886869625198027,0.0942,3.2961,2.81233104334854
2022-07-01,0.09902948120543775,0.10069403316870851,0.09359999999999999,3.2744,2.58215471522262
2022-08-01,0.09120414601236937,0.08727291292620043,0.0919,3.2698,1.66207829914337
2022-09-01,0.07570648792618684,0.07168824789164585,0.0898,3.2898,1
2022-10-01,0.04406570794190223,0.06470372234988386,0.0863,3.2482,0
2022-11-01,0.06167781186449828,0.05900728970701263,0.08449999999999999,3.3389,0
2022-12-01,0.056618197194086894,0.057850929078894886,0.08220000000000001,3.3922,0
2023-01-01,0.07186373004024893,0.05774497041323934,0.0828,3.6076,0
2023-02-01,0.06803355946764844,0.05596404965858115,0.0812,3.8961,0
2023-03-01,0.04281800719861506,0.0465077985348159,0.0809,3.9089,0
2023-04-01,0.06930888671798252,0.04184788058055289,0.0803,3.952,0
2023-05-01,0.04656521568456595,0.03935829143848002,0.0819,3.8742,0
2023-06-01,0.08342991611754491,0.031614737021461004,0.0809,3.6034,0
2023-07-01,0.02426576794540325,0.039923892107705194,0.08070000000000001,3.5197,0
2023-08-01,0.016929965585859463,0.046081701458943414,0.0797,3.5413,0
2023-09-01,0.04032670515423953,0.05185280534476955,0.07919999999999999,3.5131,0
2023-10-01,0.02303977545054381,0.04819184978612423,0.0796,3.5408,0
2023-11-01,0.032885496680330695,0.04683565944484158,0.0793,3.5562,0
2023-12-01,0.06294618084638115,0.0462119000508181,0.07719999999999999,3.5312,0
2024-01-01,0.09511040640829371,0.045067912236494534,0.0761,3.4693,0
2024-02-01,0.054096687323618164,0.044963713627921065,0.07429999999999999,3.4446,0
2024-03-01,0.05535675195010192,0.03925612019964686,0.0725,3.4205,0
2024-04-01,0.04032670515423953,0.03687975470639815,0.0709,3.4719,0
2024-05-01,0.05032476341715508,0.039260166114551964,0.0696,3.6357,0
2024-06-01,0.04406570794190223,0.04227659366812064,0.0694,3.6238,0
2024-07-01,0.0782753380297514,0.04498390807355812,0.0691,3.5999,0
2024-08-01,0.034122300002223493,0.04237739553033837,0.0676,3.5915,0
2024-09-01,0.0012006602200493877,0.04424788005957625,0.06570000000000001,3.6011,0
2024-10-01,0.09511040640829371,0.04758111822104172,0.0654,3.5893,0
2024-11-01,0.07442416772192484,0.04872950241628371,0.065,3.6302,0
2024-12-01,0.08342991611754491,0.04831196748394784,0.06509999999999999,3.7628,0
2025-01-01,0.1082240376448016,0.045597290097210585,0.06570000000000001,3.8574,0
2025-02-01,0.0860156664899252,0.05057617411058635,0.0638,3.7617,0
2025-03-01,0.08084981036551553,0.054772504272732725,0.0632,3.7633,0
2025-04-01,0.07570648792618684,0.055299017873199574,0.0616,3.8357,0
2025-05-01,0.05158069442911639,0.053197939644519465,0.059800000000000006,3.8438,0
2025-06-01,0.05283800194081856,0.05351285239090631,0.057999999999999996,3.7735,0
2025-07-01,0.06041083038769557,0.05225254704078264,0.0574,3.7596,0
2025-08-01,0.041571673389912966,0.051304098184167035,0.0574,3.6743,0
2025-09-01,0.00360594594401098,0.05172248701256943,0.057699999999999994,3.6292,0
2025-10-01,0.04032670515423953,0.04680707129995332,0.0583,3.5818,0
2025-11-01,0.03659998028813005,0.044617817397791804,0.056100000000000004,3.5505,0
2025-12-01,0.06930888671798252,0.04264347581156258,0.0546,3.5225,0
2026-01-01,0.07058560977929629,0.04441313524169499,0.054400000000000004,3.4973,0
2026-02-01,0.07956187072007337,0.03812336659250559,0.0536,3.5539,0
2026-03-01,0.06041083038769557,0.041426398615393545,0.0537,3.579,0
2026-04-01,0.06421593871455888,0.043915102507510406,0.054000000000000006,3.5587,0
2026-05-01,0.04907020753480573,0.047247192089326706,0.05412763199216627,3.5653,0
2026-06-01,0.026721794196593374,NA,NA,3.6003,0
